x,y
Holmes County,FL,311, 45
Indian River County,FL,354, 20
Jackson County,FL,316, 45
Jefferson County,FL,326, 42
Lafayette County,FL,332, 38
Lake County,FL,344, 29
Lee County,FL,343, 11
Leon County,FL,323, 42
Levy County,FL,336, 33
Liberty County,FL,318, 40
Madison County,FL,330, 42
Manatee County,FL,339, 18
Marion County,FL,341, 32
Martin County,FL,355, 16
Miami-Dade County,FL,353,  3
Monroe County,FL,349,  3
Nassau County,FL,343, 43
Okaloosa County,FL,305, 44
Okeechobee County,FL,350, 18
Orange County,FL,347, 27
Osceola County,FL,348, 23
Palm Beach County,FL,354, 12
Pasco County,FL,338, 25
Pinellas County,FL,336, 22
Polk County,FL,344, 22
Putnam County,FL,343, 36
Saint Johns County,FL,346, 38
Saint Lucie County,FL,354, 18
Santa Rosa County,FL,301, 43
Sarasota County,FL,338, 16
Seminole County,FL,348, 28
Sumter County,FL,341, 28
Suwannee County,FL,334, 40
Taylor County,FL,329, 39
Union County,FL,339, 39
Volusia County,FL,349, 31
Wakulla County,FL,322, 40
Walton County,FL,308, 44
Washington County,FL,312, 43
Appling County,GA,339, 52
Atkinson County,GA,334, 49
Bacon County,GA,338, 51
Baker County,GA,322, 49
Baldwin County,GA,332, 63
Banks County,GA,330, 73
Barrow County,GA,328, 70
Bartow County,GA,319, 72
Ben Hill County,GA,332, 53
Berrien County,GA,332, 49
Bibb County,GA,328, 61
Bleckley County,GA,331, 58
Brantley County,GA,342, 48
Brooks County,GA,329, 45
Bryan County,GA,346, 55
Bulloch County,GA,344, 58
Burke County,GA,341, 63
Butts County,GA,326, 65
Calhoun County,GA,321, 51
Camden County,GA,344, 46
Candler County,GA,341, 58
Carroll County,GA,317, 67
Catoosa County,GA,316, 78
Charlton County,GA,340, 45
Chatham County,GA,348, 55
Chattahoochee County,GA,319, 57
Chattooga County,GA,315, 74
Cherokee County,GA,322, 72
Clarke County,GA,331, 70
Clay County,GA,318, 52
Clayton County,GA,323, 67
Clinch County,GA,336, 46
Cobb County,GA,321, 70
Coffee County,GA,335, 51
Colquitt County,GA,327, 48
Columbia County,GA,339, 67
Cook County,GA,330, 48
Coweta County,GA,319, 65
Crawford County,GA,326, 60
Crisp County,GA,327, 54
Dade County,GA,313, 77
Dawson County,GA,324, 74
Decatur County,GA,321, 46
DeKalb County,GA,324, 69
Dodge County,GA,332, 56
Dooly County,GA,327, 56
Dougherty County,GA,324, 51
Douglas County,GA,319, 68
Early County,GA,318, 49
Echols County,GA,334, 44
Effingham County,GA,347, 57
Elbert County,GA,335, 71
Emanuel County,GA,339, 59
Evans County,GA,342, 56
Fannin County,GA,323, 77
Fayette County,GA,322, 66
Floyd County,GA,316, 73
Forsyth County,GA,324, 72
Franklin County,GA,332, 74
Fulton County,GA,322, 69
Gilmer County,GA,322, 76
Glascock County,GA,337, 64
Glynn County,GA,345, 48
Gordon County,GA,318, 75
Grady County,GA,324, 45
Greene County,GA,332, 67
Gwinnett County,GA,325, 70
Habersham County,GA,329, 76
Hall County,GA,327, 73
Hancock County,GA,333, 65
Haralson County,GA,316, 69
Harris County,GA,318, 60
Hart County,GA,334, 73
