x,y
USC00028796,AZ,110, 57
USC00028817,AZ,109, 57
USC00028904,AZ,101, 77
USC00029158,AZ, 95, 78
USC00029166,AZ, 97, 73
USC00029287,AZ, 96, 70
USC00029334,AZ,119, 57
USC00029359,AZ,100, 80
USC00029634,AZ, 99, 67
USC00029645,AZ, 84, 78
USC00030130,AR,255, 77
USC00030150,AR,250, 73
USC00030234,AR,268, 67
USC00030286,AR,245, 67
USC00030300,AR,246, 73
USC00030326,AR,267, 81
USC00030458,AR,263, 85
USC00030460,AR,264, 85
USC00030664,AR,246, 74
USC00030746,AR,269, 87
USC00030798,AR,248, 79
USC00030806,AR,278, 86
USC00030832,AR,246, 79
USC00030936,AR,268, 78
USC00031152,AR,255, 67
USC00031632,AR,273, 90
USC00031666,AR,242, 74
USC00031750,AR,258, 76
USC00031829,AR,258, 82
USC00031834,AR,250, 79
USC00031900,AR,252, 85
USC00031948,AR,243, 71
USC00031962,AR,266, 67
USC00032015,AR,245, 72
USC00032148,AR,265, 70
USC00032355,AR,267, 63
USC00032540,AR,258, 69
USC00032842,AR,249, 73
USC00032922,AR,248, 78
USC00032930,AR,242, 90
USC00033428,AR,249, 68
USC00033438,AR,248, 73
USC00033442,AR,243, 70
USC00033466,AR,253, 75
USC00033821,AR,277, 84
USC00033862,AR,262, 75
USC00034010,AR,258, 77
USC00034548,AR,252, 65
USC00034638,AR,271, 76
USC00034746,AR,262, 87
USC00034756,AR,244, 75
USC00034988,AR,249, 75
USC00035036,AR,258, 89
USC00035112,AR,247, 70
USC00035186,AR,267, 83
USC00035354,AR,242, 85
USC00035358,AR,247, 75
USC00035563,AR,274, 87
USC00035591,AR,246, 77
USC00035691,AR,255, 79
USC00035754,AR,261, 72
USC00035760,AR,246, 75
USC00035908,AR,250, 69
USC00036008,AR,246, 81
USC00036403,AR,263, 89
USC00036506,AR,264, 81
USC00036562,AR,258, 73
USC00036918,AR,265, 74
USC00036920,AR,266, 74
USC00036928,AR,248, 81
USC00037582,AR,261, 67
USC00040212,CA, 18,107
USC00040379,CA, 41, 95
USC00040521,CA, 61, 78
USC00040673,CA, 21, 95
USC00040983,CA, 66, 64
USC00041149,CA, 23,125
USC00041244,CA, 42, 82
USC00041253,CA, 38, 75
USC00041288,CA, 74, 60
USC00041316,CA, 15,129
USC00041428,CA, 31,104
USC00041497,CA, 29,120
USC00041614,CA, 36,131
USC00041864,CA, 35, 88
USC00041907,CA, 20,122
USC00041912,CA, 30,111
USC00041916,CA, 28,113
USC00041990,CA, 19,134
USC00042012,CA, 41, 87
USC00042081,CA, 12,117
USC00042239,CA, 65, 62
USC00042294,CA, 23,107
USC00042319,CA, 63, 90
USC00042346,CA, 43, 85
USC00042500,CA, 31,115
USC00042504,CA, 37,119
USC00042506,CA, 37,118
USC00042598,CA, 74, 69
USC00042713,CA, 73, 61
USC00042771,CA, 56, 75
USC00042920,CA, 35, 99
USC00042934,CA, 21,105
USC00043038,CA, 32,107
USC00043261,CA, 40, 94
USC00043357,CA,  6,133
USC00043463,CA, 48, 84
USC00043491,CA, 31,112
USC00043573,CA, 29,112
USC00043578,CA, 15,106
USC00043710,CA, 54, 88
USC00043747,CA, 40, 89
USC00043800,CA, 27,112
USC00043855,CA, 72, 68
USC00043875,CA, 15,107
USC00043896,CA, 62, 68
USC00043914,CA, 63, 64
USC00043939,CA, 39,102
USC00044223,CA, 73, 61
USC00044232,CA, 52, 93
USC00044297,CA, 77, 72
USC00044422,CA, 41, 74
USC00044500,CA, 17,102
USC00044555,CA, 28, 88
USC00044710,CA, 62, 61
USC00044712,CA, 21,106
USC00044890,CA, 45, 90
USC00044957,CA, 45, 88
USC00044997,CA, 23,100
USC00045064,CA, 34, 76
USC00045118,CA, 31, 95
USC00045119,CA, 30, 94
USC00045360,CA, 21,106
USC00045378,CA, 21,103
USC00045795,CA, 22, 91
USC00045915,CA, 22,102
USC00045933,CA, 24, 97
USC00046006,CA, 53, 72
USC00046074,CA, 19,105
USC00046136,CA, 29,112
USC00046144,CA, 21, 99
USC00046194,CA, 25,110
USC00046399,CA, 44, 74
USC00046506,CA, 20,116
USC00046508,CA,  9,129
USC00046597,CA, 33,109
USC00046624,CA, 53, 75
USC00046635,CA, 65, 69
USC00046675,CA, 30, 91
USC00046685,CA, 25,117
USC00046699,CA, 84, 73
USC00046719,CA, 52, 72
USC00046730,CA, 32, 84
USC00046826,CA, 17,105
USC00046896,CA, 43, 93
USC00046946,CA, 22,126
USC00047109,CA, 12,113
USC00047150,CA, 32, 88
USC00047306,CA, 60, 71
USC00047370,CA, 28,108
USC00047473,CA, 59, 70
USC00047672,CA, 33, 81
USC00047681,CA, 34, 75
USC00047731,CA, 24, 90
USC00047776,CA, 54, 72
USC00047785,CA, 53, 71
USC00047821,CA, 22, 97
USC00047851,CA, 32, 81
USC00047888,CA, 55, 68
USC00047916,CA, 22, 94
USC00047933,CA, 32, 81
USC00047965,CA, 16,106
USC00048014,CA, 50, 75
USC00048045,CA,  5,122
USC00048135,CA, 18,124
USC00048587,CA, 17,115
USC00048606,CA, 29,115
USC00048758,CA, 36,112
USC00049026,CA, 15,124
USC00049035,CA, 58, 85
USC00049043,CA, 36,113
USC00049053,CA, 26,134
USC00049073,CA, 31, 99
USC00049099,CA, 69, 72
USC00049122,CA, 12,112
USC00049152,CA, 50, 71
USC00049185,CA, 20,101
USC00049351,CA, 36,117
USC00049390,CA, 23,122
USC00049452,CA, 43, 83
USC00049473,CA, 23, 94
USC00049621,CA, 17,123
USC00049742,CA, 22,107
USC00050109,CO,172,120
USC00050214,CO,130,115
USC00050263,CO,150,110
USC00050454,CO,154,114
USC00050848,CO,155,118
USC00051071,CO,148,109
USC00051179,CO,164,116
USC00051268,CO,177, 95
USC00051294,CO,156,106
USC00051528,CO,155,112
USC00051564,CO,179,109
USC00051713,CO,143,106
USC00051886,CO,129, 97
USC00051959,CO,142,109
USC00051964,CO,152,102
USC00052184,CO,147,100
USC00052281,CO,149,116
USC00052494,CO,161,111
USC00053005,CO,156,123
USC00053079,CO,165,103
USC00053489,CO,130,111
USC00053500,CO,151,120
USC00053553,CO,160,122
USC00053629,CO,155,118
USC00053828,CO,172,106
USC00053867,CO,139,122
