code,lat,lon,elev,state,name,x,y
USC00305113,42.4694,-75.0106,373.4,NY,EMMONS,397,138
USC00305310,41.4603,-74.4489,213.4,NY,MIDDLETOWN 2 NW,402,130
USC00305426,41.7681,-74.155,379.5,NY,MOHONK LAKE,404,133
USC00306085,42.5117,-75.5197,301.4,NY,NORWICH,393,139
USC00306184,43.7025,-74.9839,532.8,NY,OLD FORGE,398,148
USC00306314,43.4622,-76.4933,106.7,NY,OSWEGO EAST,386,146
USC00306538,44.5658,-73.57,155.4,NY,PERU 2 WSW,409,155
USC00306774,41.38,-74.6847,143.3,NY,PORT JERVIS,400,130
USC00307484,43.0333,-73.8167,94.5,NY,SARATOGA SPRINGS 4 SW,407,143
USC00307799,42.0167,-74.4167,807.7,NY,SLIDE MTN,402,135
USC00307842,43.2078,-77.0128,128,NY,SODUS CTR,381,144
USC00308600,42.75,-73.6833,7.3,NY,TROY L&D,408,141
USC00308631,44.2308,-74.4383,512.1,NY,TUPPER LAKE SUNMOUNT,402,152
USC00308906,41.5514,-74.1628,115.8,NY,WALDEN 1 ESE,404,131
USC00308944,44.1481,-74.9003,460.2,NY,WANAKENA RNGR SCHOOL,398,152
USC00308962,42.6856,-78.2203,554.7,NY,WARSAW 6 SW,372,140
USC00309000,43.9761,-75.8753,151.5,NY,WATERTOWN,390,150
USC00309292,41.3906,-73.9608,97.5,NY,WEST POINT,406,130
USC00309389,43.5575,-73.4011,36.3,NY,WHITEHALL,410,147
USC00309670,41.2664,-73.7975,204.2,NY,YORKTOWN HEIGHTS 1W,407,129
USC00310090,35.3992,-80.1994,185.9,NC,ALBEMARLE,356,82
USC00310241,36.2911,-77.9822,100.6,NC,ARCOLA,374,89
USC00310286,35.7044,-79.8378,265.2,NC,ASHEBORO 2 W,359,84
USC00310674,35.5731,-76.5847,0,NC,BELHAVEN 3 NE,385,83
USC00310724,35.5044,-82.5967,643.1,NC,BENT CREEK,337,83
USC00310982,36.2114,-81.6442,1024.1,NC,BOONE 1 SE,344,88
USC00311239,36.0603,-79.4481,201.2,NC,BURLINGTON FIRE STN 5,362,87
USC00311624,35.8297,-82.1769,816.9,NC,CELO 2 S,340,85
USC00311677,35.9086,-79.0794,152.4,NC,CHAPEL HILL 2 W,365,86
USC00311881,35.0247,-78.2758,48.2,NC,CLINTON 2 NE,371,79
USC00311975,35.4111,-80.5833,213.4,NC,CONCORD,353,82
USC00312635,36.0164,-76.5517,3,NC,EDENTON,385,87
USC00313017,35.0583,-78.8583,29.3,NC,FAYETTEVILLE PWC,367,79
USC00313228,35.1803,-83.3928,647.7,NC,FRANKLIN,330,80
USC00313638,35.64,-77.3983,9.8,NC,GREENVILLE,378,84
USC00314055,35.0567,-83.1983,1173.5,NC,HIGHLANDS,332,79
USC00314063,35.9672,-79.9722,274.3,NC,HIGH POINT,358,86
