code,lat,lon,state,name,x,y
USC00043939,37.9614,-119.783,1179.6,CA,HETCH HETCHY,39,102
USC00044223,32.8489,-115.567,-19.5,CA,IMPERIAL,73,61
USC00044232,36.7981,-118.204,1204,CA,INDEPENDENCE,52,93
USC00044297,34.1472,-115.122,281,CA,IRON MTN,77,72
USC00044422,34.4908,-119.507,682.8,CA,JUNCAL DAM,41,74
USC00044500,37.9569,-122.544,44.2,CA,KENTFIELD,17,102
USC00044555,36.2069,-121.138,97.5,CA,KING CITY,28,88
USC00044710,32.8536,-116.895,210.3,CA,LAKESIDE 2 E,62,61
USC00044712,38.4919,-122.004,57.9,CA,LAKE SOLANO,21,106
USC00044890,36.3817,-119.026,156.4,CA,LEMON COVE,45,90
USC00044957,36.2033,-119.054,132.6,CA,LINDSAY,45,88
USC00044997,37.6922,-121.769,146.3,CA,LIVERMORE,23,100
USC00045064,34.6539,-120.451,29,CA,LOMPOC,34,76
USC00045118,37.0564,-120.867,36.6,CA,LOS BANOS,31,95
USC00045119,36.875,-120.939,256.9,CA,LOS BANOS ARBURUA RCH,30,94
USC00045360,38.4917,-122.124,146.3,CA,MARKLEY COVE,21,106
USC00045378,38.0131,-122.114,12.2,CA,MARTINEZ WTP,21,103
USC00045795,36.5903,-121.91,117.3,CA,MONTEREY,22,91
USC00045915,37.8792,-121.93,661.4,CA,MT DIABLO JUNCTION,22,102
USC00045933,37.3436,-121.643,1282,CA,MT HAMILTON,24,97
USC00046006,34.2308,-118.071,1740.4,CA,MT WILSON CBS,53,72
USC00046074,38.2778,-122.265,10.7,CA,NAPA STATE HOSPITAL,19,105
USC00046136,39.2467,-121.001,847.6,CA,NEVADA CITY,29,112
USC00046144,37.5147,-122.033,3,CA,NEWARK,21,99
USC00046194,38.9261,-121.545,13.1,CA,NICOLAUS 2,25,110
USC00046399,34.4478,-119.228,227.1,CA,OJAI,44,74
USC00046506,39.7458,-122.2,77.4,CA,ORLAND,20,116
USC00046508,41.3089,-123.532,122.8,CA,ORLEANS,9,129
USC00046597,38.7583,-120.503,1051.6,CA,PACIFIC HOUSE,33,109
USC00046624,34.5883,-118.094,794.3,CA,PALMDALE,53,75
USC00046635,33.8275,-116.51,129.5,CA,PALM SPRINGS,65,69
USC00046675,36.6067,-120.884,426.7,CA,PANOCHE 2 W,30,91
USC00046685,39.7536,-121.624,533.4,CA,PARADISE,25,117
USC00046699,34.2903,-114.171,224.9,CA,PARKER RSVR,84,73
USC00046719,34.1481,-118.144,263.3,CA,PASADENA,52,72
USC00046730,35.6278,-120.686,222.5,CA,PASO ROBLES,32,84
USC00046826,38.2578,-122.608,6.1,CA,PETALUMA AP,17,105
USC00046896,36.8211,-119.338,187.5,CA,PINE FLAT DAM,43,93
USC00046946,40.9867,-121.977,444.4,CA,PIT RIVER PH 5,22,126
USC00047109,39.3619,-123.129,310.3,CA,POTTER VALLEY P H,12,113
USC00047150,36.1883,-120.695,701,CA,PRIEST VALLEY,32,88
USC00047306,34.0528,-117.189,401.7,CA,REDLANDS,60,71
USC00047370,38.6944,-121.161,89.9,CA,REPRESA,28,108
USC00047473,33.9669,-117.361,300.5,CA,RIVERSIDE CITRUS EXP,59,70
USC00047672,35.3372,-120.504,416.1,CA,SALINAS DAM,33,81
USC00047681,34.5853,-120.408,77.7,CA,SALSIPUEDES GAGING STN,34,75
USC00047731,36.4375,-121.709,182.9,CA,SAN CLEMENTE DAM,24,90
USC00047776,34.1553,-117.908,226.8,CA,SAN GABRIEL CANYON PH,54,72
USC00047785,34.1061,-118.1,137.2,CA,SAN GABRIEL FIRE DEPT,53,71
USC00047821,37.3592,-121.924,15.5,CA,SAN JOSE,22,97
USC00047851,35.3039,-120.665,93.9,CA,SAN LUIS OBISPO POLY U,32,81
USC00047888,33.7442,-117.867,41.1,CA,SANTA ANA FIRE STN,55,68
USC00047916,36.9906,-121.991,39.6,CA,SANTA CRUZ,22,94
USC00047933,35.3742,-120.637,349.9,CA,SANTA MARGARITA BOOST,32,81
USC00047965,38.4381,-122.698,53,CA,SANTA ROSA,16,106
USC00048014,34.5894,-118.455,636.7,CA,SAUGUS PWR PLT 1,50,75
USC00048045,40.4831,-124.104,41.5,CA,SCOTIA,5,122
USC00048135,40.7142,-122.416,327.7,CA,SHASTA DAM,18,124
USC00048587,39.5858,-122.534,243.8,CA,STONY GORGE RSVR,17,115
USC00048606,39.5631,-121.108,1160.7,CA,STRAWBERRY VALLEY,29,115
USC00048758,39.1678,-120.143,1898.9,CA,TAHOE CITY,36,112
USC00049026,40.7264,-122.795,567.2,CA,TRINITY RIVER HATCHERY,15,124
USC00049035,35.7636,-117.391,516.6,CA,TRONA,58,85
USC00049043,39.3331,-120.173,1774.9,CA,TRUCKEE RS,36,113
USC00049053,41.96,-121.474,1229.9,CA,TULELAKE,26,134
USC00049073,37.5006,-120.855,35.1,CA,TURLOCK 2,31,99
USC00049099,34.1281,-116.037,602,CA,TWENTYNINE PALMS,69,72
USC00049122,39.1467,-123.21,193.9,CA,UKIAH,12,112
USC00049152,34.0697,-118.443,131.1,CA,U C L A,50,71
USC00049185,37.7719,-122.168,120.1,CA,UPPER SAN LEANDRO FILTERS,20,101
USC00049351,39.8056,-120.186,1508.8,CA,VINTON,36,117
USC00049390,40.4583,-121.866,676.7,CA,VOLTA PH,23,122
USC00049452,35.5892,-119.352,88.7,CA,WASCO,43,83
USC00049473,36.9308,-121.769,29,CA,WATSONVILLE WTR WKS,23,94
USC00049621,40.6117,-122.528,394.7,CA,WHISKEYTOWN RSVR,17,123
USC00049742,38.5228,-121.968,41.1,CA,WINTERS,22,107
USC00050109,40.155,-103.142,1383.8,CO,AKRON 4 E,172,120
USC00050214,39.5008,-108.379,1730.3,CO,ALTENBERN,130,115
USC00050263,38.9933,-105.892,2718.8,CO,ANTERO RSVR,150,110
USC00050454,39.4047,-105.477,2356.1,CO,BAILEY,154,114
USC00050848,39.9919,-105.267,1671.5,CO,BOULDER,155,118
USC00051071,38.8247,-106.128,2421.9,CO,BUENA VISTA 2S,148,109
USC00051179,39.7403,-104.128,1554.5,CO,BYERS 5 ENE,164,116
USC00051268,37.0158,-102.555,1255.2,CO,CAMPO 7 S,177,95
USC00051294,38.46,-105.226,1635.6,CO,CANON CITY,156,106
USC00051528,39.2203,-105.278,2097,CO,CHEESMAN,155,112
USC00051564,38.8219,-102.351,1313.7,CO,CHEYENNE WELLS,179,109
USC00051713,38.4461,-106.761,2439,CO,COCHETOPA CREEK,143,106
USC00051886,37.3444,-108.593,1879.7,CO,CORTEZ,129,97
USC00051959,38.8739,-106.977,2702.1,CO,CRESTED BUTTE,142,109
USC00051964,37.9806,-105.69,2439.6,CO,CRESTONE 2 SE,152,102
USC00052184,37.6742,-106.325,2396.9,CO,DEL NORTE 2E,147,100
USC00052281,39.6261,-106.035,2763,CO,DILLON 1 E,149,116
USC00052494,39.1092,-104.6,2197.6,CO,EASTONVILLE 2 NNW,161,111
USC00053005,40.6147,-105.131,1525.2,CO,FT COLLINS,156,123
USC00053079,38.1236,-104.008,1319.8,CO,FOWLER 1 SE,165,103
USC00053489,39.0422,-108.466,1450.8,CO,GRAND JUNCTION 6 ESE,130,111
USC00053500,40.185,-105.867,2526.2,CO,GRAND LAKE 6 SSW,151,120
USC00053553,40.4022,-104.699,1437.1,CO,GREELEY UNC,160,122
USC00053629,39.9364,-105.35,2429.3,CO,GROSS RSVR,155,118
USC00053828,38.4467,-103.161,1378.3,CO,HASWELL,172,106
USC00053867,40.4928,-107.255,1971.1,CO,HAYDEN,139,122
USC00054082,40.5453,-102.341,1152.1,CO,HOLYOKE,179,123
USC00054444,38.7411,-103.543,1546.9,CO,KARVAL,169,108
USC00054452,39.49,-105.095,1702.9,CO,KASSLER,157,114
USC00054726,37.7511,-103.478,1283.2,CO,LA JUNTA 20 S,170,101
USC00054742,38.9075,-105.471,2606,CO,LAKE GEORGE 8 SW,154,110
